开标日期,开标时间,公告发布日期,地市,县区,评标办法,项目名称,预算金额（万元）,投标保证金（万元）,企业资质,拟派项目经理资质,拟派技术负责人资质,工期（日）,业绩要求,计价基准/下浮,阶段,附件数量,附件列表,来源网站,详情链接
8月15日,9:00,8月1日,厦门,厦门,高分低价法,高崎机场及南部周边片区（成功大道以东）排水管网更新改造工程（施工“评定分离”）,7702.41,6795,一级市政和三级建筑,一级市政,高级职称,782,实际造价3000万元及以上市政排水管道工程，其余要求详见招标文件,/,招,3,"答疑1
答疑2
答疑3",厦门市公共资源交易中心,
8月18日,9:10,8月18日,福州,长乐,低价A,福州市长乐区农村生活污水治理工程（一期）--西北片区,6867.3403,1946,一级市政,一级市政,高级职称,540,工程造价不低于4500万元的市政排水工程,8%-12%,招,3,"答疑1
答疑2
答疑3",福州市公共资源交易中心,
8月18日,10:15,8月1日,厦门,厦门,高分低价法,五缘湾南部重点流域及周边片区排水管网更新改造工程（施工“评定分离”）,7429.31,3641,一级市政和三级建筑,一级市政,高级职称,690,实际造价3000万元及以上市政排水管道工程，其余要求详见招标文件,/,招,4,"答疑1
答疑2
答疑3
答疑4",厦门市公共资源交易中心,
8月20日,9:00,8月1日,厦门,厦门,高分低价法,厦门东渡港片区排水管网更新改造工程（施工“评定分离”）,10420.19,7151,一级市政和三级建筑,一级市政,高级职称,782,实际造价3000万元及以上市政排水管道工程，其余要求详见招标文件,/,招,4,"答疑1
答疑2
答疑3
答疑4",厦门市公共资源交易中心,
8月21日,8:30,7月31日,南平,松溪,综合A,松溪县松源街道燃气管道更新改造项目——（一期）,386.4683,737,二级市政且具有有效的《中华人民共和国特种设备生产许可证》,二级市政,中级职称,120,,8%-12%,招,1,答疑1,南平市公共资源交易中心,
8月21日,9:00,8月21日,厦门,厦门,高分随机法,筼筜湖第一排洪泵站提升改造工程（施工“评定分离”）,6788.25,751,一级市政,一级市政,高级职称,540,,/,招,1,答疑1,厦门市公共资源交易中心,
8月21日,9:00,8月5日,福州,福州,低价A,KL01地块内部道路项目（施工）,1241.3312,152,三级市政,二级市政,中级职称,365,,8%-12%,招,2,"答疑1
答疑2",福州市公共资源交易中心,
8月22日,8:30,8月15日,龙岩,漳平,简易标,富山铁路片区排水防涝整治工程—锦辉小区周边自建房,398.4609,,三级市政,二级市政,中级职称,120,,K=8%,招,2,"答疑1
答疑2",龙岩市公共资源交易中心,
8月22日,9:00,8月22日,厦门,厦门,简易标,白佬沙路两侧道路配套工程（施工）,513.91,,园林绿化施工,园林中工,园林中工,270,,/,招,2,"答疑1
答疑2",厦门市公共资源交易中心,
8月22日,9:30,8月8日,福州,闽侯,简易标,横屿花园周边配套道路工程（施工）,678.1209,,三级市政,二级市政,中级职称,300,,K=12%,招,1,答疑1,福州市公共资源交易中心,
8月22日,9:30,8月4日,泉州,晋江,综合评估法,晋江国际鞋纺城二期工程,89653.3873,10273,一级建筑,一级建筑,高级职称,730,单体建筑面积48000平方米及以上的民用建筑工程，且该合同范围内含有单体建筑面积20000平方米及以上的装配式混凝土建筑工程。,8%-10%,招,1,答疑1,泉州市公共资源交易信息网,
8月25日,8:30,8月25日,龙岩,永定,低价A,龙岩市永定区工业集中区排水防涝设施建设工程-洪山石材产业园区,2972.9403,239,二级市政,二级市政,中级职称,180,,8%-12%,招,1,答疑1,龙岩市公共资源交易中心,
8月25日,9:00,8月25日,宁德,宁德,综合B,屏南县总医院扩容提升改造建设项目（一期）-新建工程[装饰装修（二次深化设计）工程、室外总体工程],5263.96,2727,一级建筑和二级电子与智能化,一级建筑,高级职称,200,,6%-10%,招,1,答疑1,宁德市公共资源交易中心,
8月25日,9:00,8月25日,厦门,厦门,简易标,厦门医学院二期（施工）,1158.01,,三级建筑,二级建筑,中级职称,160,,/,招,1,答疑1,厦门市公共资源交易中心,
8月25日,9:30,8月4日,福州,闽清,低价A,闽清县老年公寓项目（县社会福利中心二期）（施工）,3806.6657,1986,三级建筑,二级建筑,中级职称,325,,6%-10%,招,1,答疑1,福州市公共资源交易中心,
8月25日,10:15,8月4日,厦门,厦门,高分低价法,五缘湾北部重点流域及周边片区排水管网更新改造工程（施工“评定分离”）,12610.93,10546,一级市政和三级建筑,一级市政,高级职称,782,实际造价3000万元及以上市政排水管道工程，其余要求详见招标文件,/,招,3,"答疑1
答疑2
答疑3",厦门市公共资源交易中心,
